user_id,name,age,email,registration_date,last_login_date,country,status
1059,User_34,,test.com,2024-03-25 00:00:00,2023-05-29 00:00:00,UK,Suspended
1079,User_35,45,user@example.com,2023-04-25 00:00:00,2020-01-01,USA,active
1014,User_36,45,valid@mail.com,2023-03-07 00:00:00,2023-07-24 00:00:00,Usa,inactive
1061,User_37,25,,2025-04-01 00:00:00,2020-01-01,USA,active
1061,User_38,45,bademail@,2024-03-08 00:00:00,2024-06-27 00:00:00,Nigeria,
1046,User_39,200,test.com,2024-10-06 00:00:00,2024-12-15 00:00:00,Nigeria,Inactive
1061,User_40,,user@example.com,2025-10-19 00:00:00,2024-05-15 00:00:00,Usa,Active
1050,User_41,45,user@example.com,2025-07-28 00:00:00,2023-11-20 00:00:00,Usa,Inactive
1054,User_42,25,,2023-10-13 00:00:00,2024-09-11 00:00:00,,inactive
1063,User_43,200,test.com,2024-06-22 00:00:00,2025-12-19 00:00:00,UK,active
1002,User_44,30,valid@mail.com,2025-05-27 00:00:00,2020-01-01,,active
1050,User_45,,test.com,2025-03-28 00:00:00,2024-09-05 00:00:00,UK,Suspended
1006,User_46,45,,2023-10-11 00:00:00,2023-08-01 00:00:00,,active
1020,User_47,25,,2023-07-06 00:00:00,2023-10-03 00:00:00,USA,Suspended
1072,User_48,30,test.com,2023-08-13 00:00:00,2023-08-08 00:00:00,Usa,
1038,User_49,30,,2023-11-24 00:00:00,2023-11-15 00:00:00,Nigeria,Active
1017,User_50,-5,test.com,2025-05-14 00:00:00,2024-03-07 00:00:00,UK,inactive
1003,User_51,200,bademail@,2025-02-27 00:00:00,2024-02-21 00:00:00,UK,Suspended
1088,User_52,45,test.com,2025-08-16 00:00:00,2024-06-24 00:00:00,Nigeria,Active
1059,User_53,25,test.com,2023-01-24 00:00:00,2024-05-29 00:00:00,,active
1013,User_54,-5,,2023-08-23 00:00:00,2023-04-15 00:00:00,UK,active
1008,User_55,200,,2024-06-30 00:00:00,2020-01-01,USA,Active
1089,User_56,-5,user@example.com,2024-11-27 00:00:00,2024-07-20 00:00:00,Usa,active
1052,User_57,,user@example.com,2025-06-09 00:00:00,2020-01-01,Nigeria,
1001,User_58,200,bademail@,2023-01-07 00:00:00,2023-09-25 00:00:00,Usa,
1083,User_59,200,user@example.com,2024-06-23 00:00:00,2024-06-20 00:00:00,UK,Active
1091,User_60,45,test.com,2024-01-01 00:00:00,2025-06-23 00:00:00,UK,Suspended
1059,User_61,200,,2023-08-06 00:00:00,2025-05-25 00:00:00,Nigeria,Suspended
1070,User_62,-5,user@example.com,2024-09-03 00:00:00,2023-08-18 00:00:00,USA,Active
1043,User_63,200,user@example.com,2025-11-05 00:00:00,2020-01-01,nigeria,Suspended
1007,User_64,45,bademail@,2023-11-10 00:00:00,2023-11-02 00:00:00,Nigeria,Suspended
1046,User_65,45,bademail@,2023-11-27 00:00:00,2025-01-26 00:00:00,nigeria,
1034,User_66,,test.com,2025-12-22 00:00:00,2023-10-31 00:00:00,,Suspended
1077,User_67,-5,,2024-10-25 00:00:00,2023-03-27 00:00:00,nigeria,Inactive
1080,User_68,30,bademail@,2023-08-18 00:00:00,2023-03-23 00:00:00,USA,inactive
1035,User_69,30,user@example.com,2024-09-21 00:00:00,2024-03-06 00:00:00,,active
1049,User_70,200,,2024-05-08 00:00:00,2023-07-30 00:00:00,nigeria,Inactive
1003,User_71,,,2023-06-11 00:00:00,2025-04-12 00:00:00,,Suspended
1001,User_72,25,user@example.com,2027-01-01,2023-11-13 00:00:00,nigeria,
1005,User_73,200,bademail@,2023-05-22 00:00:00,2024-04-29 00:00:00,USA,Active
1053,User_74,,user@example.com,2025-12-26 00:00:00,2023-12-29 00:00:00,nigeria,Suspended
1003,User_75,-5,,2023-09-20 00:00:00,2023-02-20 00:00:00,nigeria,
1053,User_76,-5,valid@mail.com,2023-12-05 00:00:00,2024-11-11 00:00:00,nigeria,inactive
1092,User_77,-5,valid@mail.com,2025-05-16 00:00:00,2025-04-23 00:00:00,Nigeria,Suspended
1062,User_78,-5,test.com,2024-02-16 00:00:00,2024-05-23 00:00:00,Nigeria,Active
1017,User_79,-5,user@example.com,2025-03-28 00:00:00,2023-08-10 00:00:00,Nigeria,
1089,User_80,,user@example.com,2025-02-03 00:00:00,2023-03-21 00:00:00,USA,
1043,User_81,,test.com,2025-11-25 00:00:00,2024-03-31 00:00:00,,
1033,User_82,45,test.com,2024-05-22 00:00:00,2025-07-31 00:00:00,UK,inactive
1073,User_83,30,test.com,2024-11-23 00:00:00,2024-04-11 00:00:00,nigeria,Suspended
1061,User_84,-5,,2027-01-01,2024-01-31 00:00:00,nigeria,inactive
1099,User_85,25,user@example.com,2024-03-27 00:00:00,2024-07-24 00:00:00,USA,active
1013,User_86,,,2027-01-01,2024-07-25 00:00:00,nigeria,active
1094,User_87,25,test.com,2023-05-01 00:00:00,2025-11-09 00:00:00,Nigeria,Suspended
1047,User_88,25,user@example.com,2023-03-06 00:00:00,2024-11-09 00:00:00,UK,inactive
1014,User_89,25,,2023-05-26 00:00:00,2023-08-25 00:00:00,Usa,Active
1071,User_90,45,,2024-07-24 00:00:00,2024-06-18 00:00:00,nigeria,
1077,User_91,,test.com,2024-03-14 00:00:00,2024-06-27 00:00:00,Nigeria,
1086,User_92,25,user@example.com,2025-08-26 00:00:00,2020-01-01,Usa,Suspended
1061,User_93,-5,test.com,2025-08-26 00:00:00,2024-12-08 00:00:00,UK,active
1039,User_94,200,user@example.com,2024-01-25 00:00:00,2024-10-04 00:00:00,Usa,active
1084,User_95,25,valid@mail.com,2027-01-01,2025-11-13 00:00:00,Nigeria,
1079,User_96,45,bademail@,2024-12-26 00:00:00,2024-01-25 00:00:00,,Suspended
1081,User_97,,bademail@,2025-08-14 00:00:00,2025-06-12 00:00:00,,inactive
1052,User_98,45,bademail@,2023-04-21 00:00:00,2020-01-01,Usa,active
1023,User_99,25,test.com,2023-07-21 00:00:00,2024-02-08 00:00:00,USA,inactive
1051,User_0,30,valid@mail.com,2023-02-21 00:00:00,2020-01-01,UK,inactive
1092,User_1,25,user@example.com,2024-05-16 00:00:00,2023-08-12 00:00:00,Nigeria,active
1014,User_2,-5,test.com,2023-07-29 00:00:00,2024-01-25 00:00:00,Usa,active
1071,User_3,-5,bademail@,2023-06-28 00:00:00,2023-10-15 00:00:00,Nigeria,
1060,User_4,-5,,2023-03-07 00:00:00,2024-07-24 00:00:00,Usa,Inactive
